"server name","server id","latency","jitter","packet loss","download","upload","download bytes","upload bytes","share url","download server count","p2p","time"
"Alice server","1001","11.623","1.045","0.0","1280783","127225","8109472","499712","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 00:00:00"
"Alice server","1001","11.696","1.8619999999999999","0.0","1284570","127147","8121600","535360","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 00:10:00"
"Alice server","1001","10.882","1.911","0.0","1286456","127376","5277600","550112","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","True","2022-06-01 00:20:00"
"Bob server","1002","11.595","1.136","0.0","1269376","127314","9207360","535712","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","True","2022-06-01 00:30:00"
"Alice server","1001","8.716000000000001","0.741","0.0","1289867","127770","4670144","550112","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 00:40:00"
"Bob server","1002","11.686","1.099","0.0","1268328","127767","5358424","473728","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","True","2022-06-01 00:50:00"
"Alice server","1001","11.734000000000002","0.721","0.0","1261020","127084","12281152","535936","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 01:00:00"
"Alice server","1001","11.542","1.224","0.0","1250172","126260","18126112","546016","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","True","2022-06-01 01:10:00"
"Alice server","1001","11.556","0.09699999999999999","0.0","1197310","126887","12051360","471136","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","True","2022-06-01 01:20:00"
"Alice server","1001","11.753","0.9670000000000001","0.0","1285623","127276","5536800","550336","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 01:30:00"
"Alice server","1001","17.605999999999998","0.166","0.0","1266446","126072","5503700","764167","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 01:40:00"
"Bob server","1002","11.729000000000001","0.987","0.0","1275863","128198","8326080","475456","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 01:50:00"
"Alice server","1001","11.552999999999999","1.09","0.0","1285053","127337","8364960","864032","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","True","2022-06-01 02:00:00"
"Alice server","1001","11.69","1.038","0.0","1282064","127544","8471520","524128","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 02:10:00"
"Alice server","1001","15.765999999999998","0.976","0.0","1293439","129310","4668320","914747","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 02:20:00"
"Alice server","1001","11.757","1.012","0.0","1272622","127683","7045344","524128","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","True","2022-06-01 02:30:00"
"Alice server","1001","11.665999999999999","1.021","0.0","1285187","127592","9774112","538592","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 02:40:00"
"Alice server","1001","11.623","1.229","0.0","1295549","127708","6588224","538592","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 02:50:00"
"Alice server","1001","11.55","0.09300000000000001","0.0","1281941","132016","5421600","888512","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 03:00:00"
"Bob server","1002","11.355","0.28","0.0","1285964","126918","5568704","547232","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 03:10:00"
"Bob server","1002","11.709000000000001","1.198","0.0","1293142","128067","5575296","527072","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","True","2022-06-01 03:20:00"
"Alice server","1001","11.571","0.183","0.0","1294302","126990","8374624","537088","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 03:30:00"
"Alice server","1001","11.782","1.031","0.0","1269684","127368","5378400","522688","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 03:40:00"
"Bob server","1002","15.673","1.071","0.0","1275754","129533","5266652","572924","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 03:50:00"
"Unknown server","1003","11.68","1.0270000000000001","0.0","1283783","128624","7866720","527072","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","True","2022-06-01 04:00:00"
"Alice server","1001","11.582","1.094","0.0","1283968","127389","5428192","799456","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","True","2022-06-01 04:10:00"
"Bob server","1002","11.525","1.232","0.0","1279942","127525","9589792","538816","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","True","2022-06-01 04:20:00"
"Bob server","1002","11.65","1.206","0.0","1278748","127312","5414400","550112","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 04:30:00"
"Bob server","1002","11.805","1.251","0.0","1286211","127256","9261472","524192","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 04:40:00"
"Alice server","1001","12.626","0.877","0.833333","1289663","127485","7856640","944896","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 04:50:00"
"Bob server","1002","11.659","1.079","0.0","1287968","127812","5549152","550112","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","True","2022-06-01 05:00:00"
"Alice server","1001","11.061","2.02","0.0","1279279","130181","4897440","1065664","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 05:10:00"
"Alice server","1001","15.668","1.083","0.0","1285982","129755","7764224","922675","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","True","2022-06-01 05:20:00"
"Alice server","1001","11.732000000000001","1.317","0.0","1278914","127512","8953920","537376","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 05:30:00"
"Alice server","1001","11.775","1.205","0.0","1283681","128426","8115840","476384","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 05:40:00"
"Alice server","1001","11.515","1.344","0.0","1285402","127187","5562944","550272","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","True","2022-06-01 05:50:00"
"Alice server","1001","10.365","1.6880000000000002","0.0","1293935","127330","5172480","937824","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 06:00:00"
"Alice server","1001","11.581","0.996","0.0","1293570","127688","9149376","538816","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","True","2022-06-01 06:10:00"
"Alice server","1001","11.434000000000001","1.239","0.0","1284117","127549","9398880","523904","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 06:20:00"
"Alice server","1001","11.741","0.992","0.0","1272054","127151","9280448","549600","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 06:30:00"
"Alice server","1001","11.754000000000001","1.338","0.757576","1284335","126666","8593536","873632","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","True","2022-06-01 06:40:00"
"Alice server","1001","11.555","0.36","0.0","1284847","127468","7725600","535936","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","True","2022-06-01 06:50:00"
"Bob server","1002","11.767000000000001","1.089","0.0","1287811","127373","7575200","537088","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 07:00:00"
"Alice server","1001","11.655","1.133","0.0","1271635","127685","8452800","525568","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","True","2022-06-01 07:10:00"
"Alice server","1001","11.685","1.4569999999999999","0.0","1285533","127168","5416672","940239","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","True","2022-06-01 07:20:00"
"Alice server","1001","11.68","1.067","0.0","1285745","127110","5430240","535712","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","False","2022-06-01 07:30:00"
"Unknown server","1003","11.796","1.025","0.0","1282799","127650","5539072","536352","https://www.speedtest.net/result/c/00000000-0000-0000-0000-00000000000000","1","True","2022-06-01 07:40:00"
